Bank Name,City,State,Cert,Acquiring Institution,Closing Date,Fund
First Republic Bank,San Francisco,CA,59017,"JPMorgan Chase Bank, N.A.",5/1/23,10543
Signature Bank,New York,NY,57053,"Flagstar Bank, N.A.",3/12/23,10540
Silicon Valley Bank,Santa Clara,CA,24735,First–Citizens Bank & Trust Company,3/10/23,10539
Almena State Bank,Almena,KS,15426,Equity Bank,10/23/20,10538
First City Bank of Florida,Fort Walton Beach,FL,16748,"United Fidelity Bank, fsb",10/16/20,10537
The First State Bank,Barboursville,WV,14361,"MVB Bank, Inc.",4/3/20,10536
Ericson State Bank,Ericson,NE,18265,Farmers and Merchants Bank,2/14/20,10535
City National Bank of New Jersey,Newark,NJ,21111,Industrial Bank,11/1/19,10534
Resolute Bank,Maumee,OH,58317,Buckeye State Bank,10/25/19,10533
Louisa Community Bank,Louisa,KY,58112,Kentucky Farmers Bank Corporation,10/25/19,10532
The Enloe State Bank,Cooper,TX,10716,"Legend Bank, N. A.",5/31/19,10531
Washington Federal Bank for Savings,Chicago,IL,30570,Royal Savings Bank,12/15/17,10530
The Farmers and Merchants State Bank of Argonia,Argonia,KS,17719,Conway Bank,10/13/17,10529
Fayette County Bank,Saint Elmo,IL,1802,"United Fidelity Bank, fsb",5/26/17,10528
"Guaranty Bank, (d/b/a BestBank in Georgia & Michigan)",Milwaukee,WI,30003,First-Citizens Bank & Trust Company,5/5/17,10527
First NBC Bank,New Orleans,LA,58302,Whitney Bank,4/28/17,10526
Proficio Bank,Cottonwood Heights,UT,35495,Cache Valley Bank,3/3/17,10525
Seaway Bank and Trust Company,Chicago,IL,19328,State Bank of Texas,1/27/17,10524
Harvest Community Bank,Pennsville,NJ,34951,First-Citizens Bank & Trust Company,1/13/17,10523
Allied Bank,Mulberry,AR,91,Today's Bank,9/23/16,10522
The Woodbury Banking Company,Woodbury,GA,11297,United Bank,8/19/16,10521
First CornerStone Bank,King of Prussia,PA,35312,First-Citizens Bank & Trust Company,5/6/16,10520
Trust Company Bank,Memphis,TN,9956,The Bank of Fayette County,4/29/16,10519
