Bank Name,Cert #,Assets QoQ Pct,Cash QoQ Pct,Securities QoQ Pct,Loans QoQ Pct,Total Deposits QoQ Pct,Core QoQ Pct,Assets,Cash,Securities,Loans,Total Deposits,Core Deposits,Risk Prediction,City,State,S/A Ratio,C/A Ratio,L/D Ratio
Commercial Bank & Trust Company,90.0,0.014840219627152207,1.2162832656743348,-0.033868630765515606,0.015171285435160442,-0.007352057546052282,0.03228488940683172,250629000.0,9827000.0,80015000.0,150155000.0,231283000.0,176274000.0,Risky,Monticello,AR,0.31925675001695736,0.039209349277218516,0.6492262725751569
Bank of Cave City,105.0,0.0077078342015128865,-0.29305069930069927,-0.03497388827346104,0.042513894826849086,-0.017224433126447725,-0.02455495093531901,176235000.0,3235000.0,36588000.0,121922000.0,142985000.0,129424000.0,Risky,Cave City,AR,0.20760915822623202,0.018356172156495588,0.8526908416966815
Bank of Madison,148.0,-0.0252832047282876,-0.15430920569666717,-0.020137678244155355,-0.003772370191403529,-0.02881320778197205,-0.027384612543740583,385905000.0,5760000.0,87682000.0,275441000.0,351186000.0,316029000.0,Risky,Madison,GA,0.2272113603088843,0.014925953278656664,0.7843165729841167
Exchange Bank,160.0,0.0186214276790031,-0.22159135101501126,-0.012378474227364489,0.057770107643618784,-0.03288467048273924,-0.038522062262219214,375034000.0,10008000.0,145369000.0,206555000.0,317297000.0,304277000.0,Risky,Milledgeville,GA,0.38761552285926076,0.026685580507367333,0.650983148280633
Tri-County Bank & Trust Company,210.0,0.06110207479019181,0.8225367446924332,-0.020065629366786464,0.09269237960869647,0.01020265548567445,0.02424298632042654,277909000.0,10044000.0,62413000.0,192846000.0,231296000.0,220878000.0,Risky,Roachdale,IN,0.22458070807350608,0.03614132683720211,0.8337627974543442
Solon State Bank,232.0,-0.016668532945147363,0.17519545131485437,-0.07932772486380313,0.028433980597989628,0.0007098084609169497,-0.007590132827324458,122942000.0,3307000.0,49685000.0,64562000.0,91639000.0,88910000.0,Risky,Solon,IA,0.4041336565209611,0.02689886287843048,0.7045253658376892
Stock Yards Bank & Trust Company,258.0,0.008475437016149057,-0.3274765425486127,-0.03630901529304631,0.03368441239510589,-0.023491188386368878,-0.02848585800875081,7724821000.0,210939000.0,1539771000.0,5346959000.0,6209226000.0,6034802000.0,Risky,Louisville,KY,0.19932772552270142,0.02730665215414053,0.8611313229700449
Kentucky Farmers Bank,267.0,-0.024826520598286383,-0.41778721396555796,0.01352195365686093,-0.009505983430500131,-0.03199085394382983,-0.07306692491972067,280220000.0,7404000.0,97365000.0,161401000.0,237926000.0,218226000.0,Risky,Catlettsburg,KY,0.3474591392477339,0.02642209692384555,0.6783663828249119
Morgantown Bank & Trust Company,275.0,-0.006063373330557953,-0.2642651296829971,-0.02092871157619358,0.033990219581945036,-0.006402725785797703,-0.017682168321999092,296048000.0,10212000.0,64371000.0,205732000.0,263036000.0,250327000.0,Risky,Morgantown,KY,0.21743433497270712,0.034494406312489866,0.7821438890494077
Community Financial Services Bank,287.0,-0.009774659636897942,-0.06495984734038329,-0.022484269369905552,-0.007285069963548385,-0.021107629173065412,-0.032518081045980085,1372181000.0,23520000.0,292373000.0,945557000.0,1225121000.0,974382000.0,Risky,Benton,KY,0.21307174490828834,0.017140595883487673,0.7718070296729874
Monticello Banking Company,292.0,0.011046610995594897,-0.050663021189336965,-0.056079439638710316,0.03662094817531458,-0.009804832419398113,-0.015375626926461439,1177201000.0,34722000.0,239736000.0,831002000.0,937899000.0,819046000.0,Risky,Monticello,KY,0.20364916441627215,0.029495387788491517,0.8860250410758514
Bank of Edmonson County,296.0,0.007919818764390074,-0.11633608201470913,-0.0048915322142335516,0.003606428417104679,0.007158911879004304,-0.0032340147594446256,272730000.0,7930000.0,64082000.0,181162000.0,239729000.0,219756000.0,Risky,Brownsville,KY,0.2349649836834965,0.02907637590290764,0.7556949722394871
Clinton Bank,304.0,-0.01600246191721799,-0.38046192259675404,-0.09336133761634136,0.07282290729072916,-0.044746723604771055,-0.07284918740766,63950000.0,1985000.0,22015000.0,38141000.0,51897000.0,48948000.0,Risky,Clinton,KY,0.3442533229085223,0.031039874902267395,0.7349365088540764
Farmers State Bank,342.0,0.04693453463040309,0.9581470633574842,-0.03671935045227914,0.06110071062886835,0.0002876233829498531,-0.012126335095668406,708358000.0,25405000.0,195519000.0,444372000.0,601654000.0,564472000.0,Risky,Victor,MT,0.2760172116359242,0.03586463341982444,0.738583970188846
Sooner State Bank,402.0,0.0019191385772614478,0.2443820224719102,-0.04070475741971147,-0.019418999978345175,0.004033046799702733,-0.0013014645131572689,311152000.0,7531000.0,93703000.0,181129000.0,282311000.0,273182000.0,Risky,Tuttle,OK,0.3011486347508613,0.024203604669100633,0.6415938450857388
Security State Bank,421.0,-0.006700153562525735,0.3324372759856631,-0.06644669778421586,0.020651850003811534,-0.007778272815029297,-0.015004070871941999,238683000.0,5948000.0,69602000.0,147277000.0,213796000.0,177842000.0,Risky,Cheyenne,OK,0.2916085351700791,0.024920082284871567,0.6888669572863851
Mercer County State Bank,445.0,-0.013622461166556854,-0.3906857352401907,-0.037459144867137306,0.006254411362228707,-0.0049260682978420345,-0.00804405147675502,549216000.0,8308000.0,158440000.0,349286000.0,489248000.0,460090000.0,Risky,Sandy Lake,PA,0.2884839480277341,0.015127017421196761,0.7139242265681208
Security State Bank,485.0,0.010553707756733921,0.04297262799602897,-0.01041191782232087,0.017804052227840872,0.028001208250625798,-0.029299205156412156,293197000.0,7354000.0,67291000.0,207116000.0,238229000.0,187950000.0,Risky,Tyndall,SD,0.229507805332251,0.025082112027067126,0.8693987717700196
